b22659b9.e12c.4725.a7db.a833de_D1_D2.Unshared.Log.Ratio	X3fbf076a.824b.4eac.b6dc.bf5e59_D2.Unshared.Log.Ratio	X2b73e01c.347a.4dae.a71d.752aeb_D2.Unshared.Log.Ratio	X340a3769.3031.41ae.bb08.a2f696_D2.Unshared.Log.Ratio	X994f9b8e.46cb.413f.8ec8.2c2fed_D2.Unshared.Log.Ratio	X3e746bea.ed68.40e6.b348.6ddf08_D2.Unshared.Log.Ratio	X0745488e.0bfb.4d1f.8228.dedf76_D1_D2.Unshared.Log.Ratio	X8ed739dd.ae0f.4881.971a.db3cf4_D1_D2.Unshared.Log.Ratio	X21efd60f.6a31.4b98.9477.16a905_D2.Unshared.Log.Ratio	X092af714.b97a.457c.b0e9.8c20e8_D2.Unshared.Log.Ratio	b9c1f22e.61f7.45ed.b3b4.5094c7_D2.Unshared.Log.Ratio	X685ec3c2.e67a.40d3.9eb3.aa01c9_D1_D2.Unshared.Log.Ratio	X31c15e30.21d4.4843.bd4a.9cd0d8_D2.Unshared.Log.Ratio	X1abbcb28.f221.4cd4.8c01.37b9bb_D1_D2.Unshared.Log.Ratio	X61f76fe6.a1c6.41b8.bdc2.2f9209_D2.Unshared.Log.Ratio	X1db5574d.aca7.403c.8100.6e705f_D2.Unshared.Log.Ratio	X6e209757.a7f4.45af.b5f3.2ebc02_D2.Unshared.Log.Ratio	X1556af7e.c2ae.4fce.9aae.87c459_D1_D2.Unshared.Log.Ratio	X7edfd606.4bee.4529.9fec.1ca7f0_D2.Unshared.Log.Ratio
ABCB7	-0.534297075880472	0.215894299832969	0.310854558384813	0.440643190594521	-1.02389129066956	-1.19998433590738	-0.218961957078162	0.112301753951933	0.131214373440748	-0.0804876734192231	0.351808282320448	0.416189341721447	0.375806191790797	-0.657684066327994	-0.598678468982978	-1.08836460005861	-1.2284729268881	-0.231726844642958	-0.106840124795719
ABCC1	-0.217939857122415	-0.396796190943213	-0.574401889464872	-0.690383342431048	-0.72487492220471	-0.140855759865298	0.605641394732755	0.169998960552368	-0.112447376327805	-0.469363032466233	-0.25119996831639	-0.232369449103341	-0.37590620291136	-0.445839136569588	-0.325991435499355	0.0841672794355109	-0.188596677522657	-0.476023375019112	-0.53642812358446
ABCC10	0.670489413493046	0.447866596289463	0.414476247058599	0.34364566322745	1.41278544408167	-0.809158931183381	0.639479537952845	0.282496518483306	1.15476919999906	0.079461532741301	0.396779374058107	0.674176857138858	1.1410058296656	0.536523904441487	0.428083203284627	0.420143506276058	0.598352615948001	0.26555528674127	0.731346675379046
ABCC4	0.276517048474551	-0.631995980797493	0.370787566633538	-0.536803301973982	-0.133080980716859	-0.655476435514778	-0.556193306513923	-0.244782429097871	-0.480024117567517	-0.671065851688744	-0.171915814049282	0.267587391111549	0.338658654047341	-0.191462221725629	-0.148076062972891	-0.975946441413559	0.335883401800393	-0.840248618307857	-0.359699836879766
ABCD1	0.231843979637563	0.0717194820655427	-0.378854103775381	-0.809053114688133	-0.107786944519786	0.387641304529718	-0.455769767610378	-0.464702139936607	0.225185195854908	-0.981143606359871	-0.31388147530122	-0.176841125298193	-1.11755514928142	-0.344212719303576	-0.406749993754418	-0.1710442526438	-0.420008292489267	0.422095836055677	-0.11765596504678
ABCD3	-0.121383961362106	0.488215037857814	-1.08223775075471	-0.948612761248663	-0.282569430328516	-0.0329388369667752	0.0860124927428287	-0.791890198566984	0.519705284348438	-0.414163706246481	-0.99400542057388	-1.24307470254691	0.0805272378562383	-0.00118657401328625	-0.765968256495644	-0.730712919634498	-0.0309244522665124	0.243724982480524	-0.0936241138106294
ABCE1	0.247426819733606	-0.368163986551647	-0.423214665702114	-0.900901419111371	0.587884750844567	-0.76890153002402	-0.69044330330157	-1.06319378127408	-0.0991256059170212	-0.752934585184319	-0.547489932951076	-0.481756592926475	-0.40214793862795	-0.456382598655114	-0.249635233439411	-0.382484896337516	0.0220267925425654	-0.130961553159794	-0.426191930790619
ABCF1	0.556956872223508	0.183939677256443	-0.24401048360168	-0.125428060090295	0.172293967453898	-0.358939956702966	0.640946581026919	0.0896525337682144	0.218428621462627	-0.0624767797721265	-0.0907908005080819	-0.253619892900173	-0.299531449097935	-0.340160295832436	0.102537745752703	0.223472903071027	0.171398836737588	-0.197495002701037	-0.241643232648393
ABCF2	0.774510622884726	-0.00937321031942308	0.455402529098376	-0.34866320834592	-0.161321137264605	-0.868904498806947	0.256466603557951	0.150106551544932	0.607198664382815	-0.592892411438488	-0.363223199756807	0.576416852193455	0.21882257205059	0.248658050874234	0.0432103682099456	0.144036392859814	0.124349140140388	-0.251058897453527	0.0284230694035373
ABCF3	0.202892586471737	0.441858664391102	-0.38036254116605	-0.158722142159007	-0.839647362358182	-0.0606959015923569	0.884553756103013	0.00928477295821906	-0.159708154533779	0.388301459056607	-0.0214684539861375	0.503223356381204	0.256629434050643	-0.851061726459677	-2.26559126162382	0.408924861032026	0.263904100652587	-0.0246714501125668	0.00096126503344033
