X1740224c.32d1.4c9f.98c6.653363	X6c660b6b.bfda.47b0.9499.160d49	X1664b920.5e60.4e3b.9aab.fe121c	X81116212.b7e6.454b.9579.105cf3	X33adae13.5dbd.4530.a5d5.3763e4	X428de0d4.7f84.4075.bae1.352af6	X0a80d3c4.0758.447a.958c.ea868c	X53723086.8858.4395.93d7.0baa68	X3367406e.d39c.4641.a3e7.44e1f3	X241ecd0e.89bd.4d3a.81b3.55a250	X64ee175f.f3ce.446e.bbf4.9b6fa8_D1	X4749ba99.d3b8.4ae3.b6f6.458bc7	X7ac27de9.0932.4ff5.aab8.29c527	X885fe794.a98e.4f81.a284.ac4bb8
AARS	-0.292707986740473	-0.462327522724575	-0.274507842203741	-0.202749637284487	-0.0676728413868478	-0.180003350119553	-0.285934672548132	0.0820789065819611	-0.153207333126738	-0.392728677063989	-0.436088371887384	-0.456397471222629	-0.245067581300884	-0.247367931612179
AARS2	0.023161945542229	0.244210734215872	-0.12990696939497	-0.090520175162436	-0.1995596377258	0.40617041550619	0.0926012422254771	0.183426501685132	-0.31212552004902	-0.163724928893435	-0.326814355326202	0.179585967275313	0.186271710690827	0.154909518958989
AARSD1	-0.142261814472169	-0.0728180596364053	0.00908853130873949	0.142883416174157	0.292445887284346	0.0599205370489003	-0.0876769704713493	0.522136266020949	0.530077775930409	-0.118528834520764	0.252666324930601	0.0649905605181255	-0.0106673811907036	0.158941345733354
AASDHPPT	0.0993604241904494	-0.0547366383799437	0.116050760218283	-0.10866060958958	0.243375948228672	0.0983092659833548	0.105125570417725	0.379349346016309	0.0655579221143952	-0.207689795972085	0.362527641822876	-0.261859939659884	-0.48952322823342	-0.032869798490709
AASS	1.59716473368874	1.74985334697191	1.27154964148959	1.20371355681378	2.05150325106868	1.45307836781513	1.44639195729777	2.66580657808015	1.32688395359668	1.51222067643462	1.1241366622095	1.16711691783283	1.76579588324043	1.82894634418679
AATF	-0.50233995963936	0.0860864634966159	0.234315010971864	-0.2140701844524	0.083204134939675	-0.0537523799690806	-0.464201646123511	-0.0226478484508893	0.339353622483876	0.0409176783207372	0.332885673509184	0.286127485617304	0.168936008918761	-0.374559622903209
ABAT	-1.28263635302876	-0.791699807219195	-1.15577210786005	0.0898395416980556	-0.717028388362088	-0.735698918896314	-1.4671318800456	-0.0611141006047594	-1.19882013482683	-1.55360555272774	-1.1186800180586	-1.08142770892037	-0.972532115084834	-1.00773533864652
ABCA3	0.469996162239671	0.231592423504482	0.407983271667516	0.306304433891637	0.423701210557199	0.399459342631207	0.285839845102249	0.425791518020731	0.458363470128452	0.460577224038958	0.477230901081867	0.311905209286457	0.311520150854015	0.879708560684865
ABCA8	2.07622334784724	2.5305284476797	2.00586135178735	1.86830382126591	2.39050066756279	1.74202207490693	2.45356683998034	1.83363322661225	2.63587130053812	1.62527660447689	1.89687303809295	1.78008719133027	1.88956584398543	1.73977750540493
ABCB10	0.32130844503692	0.106006994193679	-0.0118771159872846	-0.416050078816114	-0.086375107673229	0.198025629447972	0.558312739901343	-1.11092411025514	-0.351903313644109	-0.0158904395300294	-0.140494042166963	0.0882613829774754	-0.03506190817835	-0.362389151601619
